
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

kansas-city-senegal.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-spain.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
kansas-city-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
kansas-city-sweden.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
kansas-city-switzerland.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
kansas-city-t-rkiye.json: 3 venues, 0 kept country tag, 3 stripped to no-flag
kansas-city-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-uruguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
kansas-city-usa.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
kansas-city-uzbekistan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-argentina.json: 5 venues, 4 kept country tag, 1 stripped to no-flag
las-vegas-australia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-austria.json: 3 venues, 2 kept country tag, 1 stripped to no-flag
las-vegas-belgium.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-bosnia-and-herzegovina.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
las-vegas-brazil.json: 8 venues, 7 kept country tag, 1 stripped to no-flag
las-vegas-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-canada.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-colombia.json: 4 venues, 2 kept country tag, 2 stripped to no-flag
las-vegas-congo-dr.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
las-vegas-croatia.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
las-vegas-cura-ao.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
las-vegas-czechia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-ecuador.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
las-vegas-egypt.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-england.json: 2 venues, 1 kept country tag, 1 stripped to no-flag
las-vegas-france.json: 10 venues, 7 kept country tag, 3 stripped to no-flag
las-vegas-germany.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
las-vegas-ghana.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-haiti.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
las-vegas-ir-iran.json: 6 venues, 3 kept country tag, 3 stripped to no-flag
las-vegas-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-japan.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
las-vegas-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-korea-republic.json: 10 venues, 10 kept country tag, 0 stripped to no-flag
las-vegas-mexico.json: 10 venues, 10 kept country tag, 0 stripped to no-flag
las-vegas-morocco.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
las-vegas-netherlands.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-new-zealand.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
las-vegas-norway.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
las-vegas-panama.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-paraguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-portugal.json: 8 venues, 8 kept country tag, 0 stripped to no-flag
las-vegas-qatar.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
las-vegas-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-scotland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-senegal.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-spain.json: 8 venues, 5 kept country tag, 3 stripped to no-flag
las-vegas-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
las-vegas-sweden.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-switzerland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-t-rkiye.json: 4 venues, 2 kept country tag, 2 stripped to no-flag
las-vegas-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-uruguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
las-vegas-usa.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
las-vegas-uzbekistan.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
los-angeles-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
