
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

dallas-t-rkiye.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-tunisia.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-uruguay.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-usa.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
dallas-uzbekistan.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
guadalajara-algeria.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-argentina.json: 16 venues, 1 kept country tag, 15 stripped to no-flag
guadalajara-australia.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-austria.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-belgium.json: 17 venues, 0 kept country tag, 17 stripped to no-flag
guadalajara-bosnia-and-herzegovina.json: 17 venues, 0 kept country tag, 17 stripped to no-flag
guadalajara-brazil.json: 15 venues, 1 kept country tag, 14 stripped to no-flag
guadalajara-c-te-d-ivoire.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-cabo-verde.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-canada.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
guadalajara-colombia.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-congo-dr.json: 11 venues, 0 kept country tag, 11 stripped to no-flag
guadalajara-croatia.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-cura-ao.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-czechia.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-ecuador.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-egypt.json: 14 venues, 0 kept country tag, 14 stripped to no-flag
guadalajara-england.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-france.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-germany.json: 15 venues, 1 kept country tag, 14 stripped to no-flag
guadalajara-ghana.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-haiti.json: 15 venues, 0 kept country tag, 15 stripped to no-flag
guadalajara-ir-iran.json: 16 venues, 0 kept country tag, 16 stripped to no-flag
guadalajara-iraq.json: 18 venues, 0 kept country tag, 18 stripped to no-flag
